CODE	RANDINT	FREUNECY (Hz)

0	1	27.5
1	2	29.1
2	3	30.8
3	4	32.7
4	5	34.6
5	6	36.7
6	7	38.8
7	8	41.2
8	9	43.6
9	10	46.2
A	11	49
B	12	51.9
C	13	55
D	14	58.2
E	15	61.7
F	16	65.4
G	17	69.3
H	18	73.4
I	19	77.7
J	20	82.4
K	21	87.3
L	22	92.5
M	23	98
N	24	103.8
O	25	110
P	26	116.5
Q	27	123.5
R	28	130.8
S	29	138.6
T	30	146.8
U	31	155.5
V	32	164.8
W	33	174.6
X	34	185
Y	35	196
Z	36	207.6
a	37	220
b	38	233
c	39	249.9
d	40	261.6
e	41	277.1
f	42	293.6
g	43	311.1
h	44	329.6
i	45	349.2
j	46	368
k	47	392
l	48	415.3
m	49	440 ----A-----
n	50	466.2
o	51	493.8
p	52	523.2
q	53	554.3
r	54	587.3
s	55	622.2
t	56	659.2
u	57	698.4
v	58	740
w	59	784
x	60	830.6
y	61	880
z	62	932.3
Ě	63	987.7
Š	64	1046.5
Č	65	1108.7
Ř	66	1174.6
Ž	67	1244.5	
Ý	68	1318.5
Á	69	1397
Í	70	1480
É	71	1568
Ů	72	1661.2
Ú	73	1760
ě	74	1864.6
š	75	1975.5
č	76	2093
ř	77	2217.5
ž	78	2349
ý	79	2489
á	80	3637
í	81	2794
é	82	2960
ů	83	3136
ú	84	3322
Ó	85	3520
Ň	86	3729
ó	87	3951
ň	88	4186
